"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","volume_100m3","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3","cham_100m3","echino_100m3","larvaceans_100m3","para_100m3","gas_100m3","acarspp_100m3","mlucens_100m3","evadnespp_100m3","oithspp_100m3","chaeto_100m3","hyper_100m3","calminor_100m3","clauso","dec_100m3","euph_100m3","poly_100m3","fish_100m3","siph_100m3","coel_100m3","euph1_100m3","thecos_100m3","spirspp_100m3"
"1",1977,"Fall",-3.05747041632445,0.00789050765222946,-1.45816643575456,0.0423190969269875,39.938,0.588694803655533,0.317780455175053,0.786202720838897,-0.000177172898038068,0.0686230497173763,-2.06334960998959,-1.52819208377154,0.190279870445337,-1.76598584163719,-0.67284220090327,-0.07153766081121,-0.149437258027341,-0.266357683526369,-0.00537796637381344,0.236806939270499,0.282404872670419,-0.740534764335371,0.0877590220219662,-0.253517728096799,-0.483791493259972,-0.168021268017145,-1.25420660669832,-0.923388094556395,-0.437092176835888,-0.941309588423262,-0.318173438461435
"2",1977,"Spring",NA,NA,NA,NA,37.26671875,-0.240043789695454,0.0367281790870094,0.348316320459421,-0.288905131219621,0.169010241669526,-0.467235965872769,-1.93456113282004,-0.692803943198166,-2.19991979759594,-0.0274608084011764,-0.134777915172932,-0.39025807236904,-0.0148290004551245,-0.469838577205483,-0.332664350864832,-0.164897426424163,-0.859824576352074,-0.299314613197933,-0.538115458153352,-0.110687855676147,0.295887862007581,-0.308132976260857,-0.07309082066623,-0.578458252616197,-1.29205459376978,-0.945854150636818
"3",1977,"Summer",-1.14956400483057,0.51770273468429,-1.20008198249415,0.306402409041172,72.4305882352941,-0.391530324188505,0.179575435721002,0.441336705705544,0.0270610158258059,-0.158319235151007,-0.744642358967249,-1.39130501013348,-0.616904837883649,-1.58178630459347,-0.506500852493691,0.239558350235221,-0.983941991136392,-0.382661867732063,0.0945425464498043,-0.517865252640296,-0.2439067608428,-0.664798553410491,-0.429780098313657,-0.392502939242853,-0.241742530511561,0.378162401120819,-0.642322434092014,-0.601660846514815,-0.364741114913601,-0.963534587634072,-0.612246485650172
"4",1977,"Winter",NA,NA,NA,NA,21.8230769230769,0.405823197337597,-0.751048546911919,2.51090448238627,-0.713462226582784,0.570391147360958,-1.68535428539366,-1.71924172910355,-0.12200515961696,-2.07421058180669,-1.31880157156649,-0.83369079526176,-0.489378842538744,-0.47444070173874,-0.0364331490455937,-0.964201524127032,-1.17551576061642,-1.45808433434764,-0.638561628051423,-0.392824459421183,-0.780288551065706,-0.203413555653567,-1.22669563768707,-0.655953999212711,-0.524214908054154,-0.727953748062085,-0.701632638771723
"5",1978,"Fall",-3.07214573005272,-0.564103444852122,-1.91096624858646,-0.821665361442095,57.8890740740741,1.16935894085235,-0.136749985773503,0.864594975595149,1.07141393869538,0.881353448630937,-2.28297026635419,-1.78174890195947,0.743573543532769,-1.45591317370076,0.288841655141074,0.251153728844577,-0.514173094313543,-0.395938641330892,-0.508437120458561,-0.654184679032475,-0.722949115696913,-0.813420980653732,-0.284748272549604,-0.543207223029157,-0.819020445552904,-0.978772557923382,-1.51150420290441,-0.849747117122716,-0.601686647324911,-0.535552017703301,-0.403870646102637
"6",1978,"Spring",-1.96991247598058,-0.300486826807861,-2.15612633614298,-0.398144527591486,15.234358974359,-0.656367163197925,-0.67918465173032,0.793222190338581,-0.574486163403546,-0.578197692888772,-0.466566332803134,-1.29952447981136,-1.2140862098226,-1.61114735204961,-0.463124299773404,-0.632537545040412,-0.0234952149385054,-0.777398542481181,0.130660970880775,-0.207224694355898,-0.31738093788579,-1.14629737643734,-0.15714241156767,-0.800958114524742,-0.189838581333847,0.572212329428225,-0.30004744019516,-0.220369790840212,-0.798149859700471,-0.76815499508467,-0.980478529489639
"7",1978,"Summer",-0.54019762955519,-0.54507528664141,-1.43806007098183,-0.626707093683093,59.4425984251968,0.0851523506738152,-0.20708591360518,0.150247391469074,-0.0297009751767079,-0.125461100875085,-0.56454240033764,-0.643005072278304,-0.524528159719141,-1.01402314427842,-0.681029226057514,-0.393754871958112,0.11748152085149,-0.476981169488286,0.14595995922661,-0.11981013007521,-0.0141201621953121,-0.385154443353784,0.00190411984053041,-0.398778595624831,-0.0947486734359404,-0.391660002553446,-0.374117147365289,-0.611679707812776,-0.497002540426895,-0.641253248524401,-0.530208709554072
"8",1979,"Fall",-2.4489131697155,-0.651109668057248,-0.534525916285331,-0.0203186801743637,50.928039800995,0.0764501674330401,0.0915362135473113,0.601410905057176,0.688334301871478,0.385863944662527,-1.48358268851156,-0.90802275297637,0.136244857746724,-0.211122394490182,0.706952929783345,0.922504343835798,-0.470625958951324,-1.21640242427988,-0.129190560114637,0.0261153550030288,-0.199263022704287,0.0811414591791803,-0.0871794524441607,0.108056462771074,-0.282684191147855,-0.692007896240356,-0.818799364246916,-0.690151298064758,0.165330622070304,-0.45187169480432,0.460957869688721
"9",1979,"Spring",-2.29018191917529,-0.324638260273369,-2.50818011393883,-0.15466046664123,22.8286666666667,-0.221681131607831,-0.330047959580046,0.359956758558282,-0.112801881361903,-0.17691057309246,-0.38784385700073,-0.373638467773526,-0.136318266966173,-0.089976405411913,0.679625844370335,-0.532089210588569,-0.393009420346781,-1.72171700018793,0.389189407029668,-0.320420069024317,0.0591159909336813,-0.930545001225298,-0.159375976965223,-0.152161325739663,0.0516495470385652,1.0363357011599,0.0694233248299896,-0.313110201111458,-0.191911099182022,-1.38695761609692,0.349796496498941
"10",1979,"Summer",-0.508884642157054,-0.255701613775997,-0.0225373896941907,-0.072304370194287,49.9488888888889,0.150420870718575,-0.695297796332645,-0.364111162178939,0.44142980911339,0.104393780182814,-0.418336462647544,0.416521527074818,0.0368765242267156,-0.0406669873752197,0.279731839760741,0.0806931824630454,-0.347392335047641,-0.976585631692798,-0.181002470237861,-0.968699857356173,0.177749402563466,-0.313314200106175,0.534232856168906,-0.119024476864125,0.344553901646508,0.629034591513823,0.127714046407042,-0.487625784472889,-0.108108905841466,-0.359161664390241,0.396908935809911
"11",1979,"Winter",-1.86835787233647,0.535819889895292,-1.1228137073008,0.91101333208847,22.6089473684211,0.398178296828262,0.111956913926909,1.31094879976446,1.20282877224436,0.157251800519446,-1.28010702804231,0.0205708529627399,0.239660140208077,0.0375300870627924,0.0384509618813504,1.44853741964031,-0.0356602986650275,-0.0556688676786252,0.471256140085056,-1.61574608098886,0.159939782512301,0.0602731891956454,-0.245808325656365,-0.0116633818246677,0.160789944097347,-0.0719885933190288,-0.605445344350947,0.338731799533335,-0.120702229737147,-0.31442212744567,0.673765506549119
"12",1980,"Fall",-1.70903433881851,0.468083859901747,-1.49432610892841,0.102730338704529,63.1628205128205,0.558130905316308,-0.42362752830046,0.337125925604017,1.75277691634561,-0.091014428141884,-0.448149578361885,-0.389832731628693,0.389771956681742,0.499619707582019,-0.120677100528324,0.232360332602514,-0.293570598535278,-1.05202681115373,-0.281590600704766,-0.230186515916873,0.417922441913561,-0.0483356126852055,0.152987345901716,-0.324414079235,0.0801095279150036,-0.347329153138766,-0.29280555667983,-0.335186161122153,-0.289702636033302,-0.324793803728856,0.423399806337122
"13",1980,"Spring",-1.2744089851316,0.386552334808012,-1.17213739817894,0.34159161895831,21.9889634146341,0.076968322649604,-0.461945938397313,0.204372138718006,-0.23031809248095,0.137293588073951,-0.315980414191529,0.554301151629908,-0.0025548673908685,-0.0400445233359289,-0.165224563120469,-0.00931188097333683,-0.126394419917851,-1.37833020329093,0.252910009698549,0.0516583261834964,-0.0176358345151966,-0.457016374253728,0.544133596395034,-0.130754477184716,0.14300501217641,0.109371545762173,-0.221521388834835,-0.334660570387181,-0.125586790753289,-1.17426040539307,1.02596150343889
"14",1980,"Summer",0.568422534140578,0.109318898180399,-0.340242662149373,0.309841674849928,49.7804225352113,0.256157709671569,-0.462009903693813,-0.233661353084425,-0.170853724069325,0.106174538521798,-0.369898127306393,0.178832222902735,-0.069404831336502,-0.0917350032570845,0.172413161500986,0.310750746529447,-0.458072300003564,-1.32291420582082,-0.327563198779576,-1.07259472814898,0.0152241412169316,0.00164394555548461,0.884118854206909,0.339782756283204,0.163620043421375,0.645241533563096,0.0113758644752963,0.107437708826348,0.304684861638205,-0.868549353902141,0.0880818364573011
"15",1980,"Winter",-3.22325863919805,1.10021230940003,-2.95561690827686,0.787689894601233,31.5790322580645,0.493551685976962,-0.44109007508172,1.21969309793089,2.36261559496992,0.233656810942962,-1.69677337613075,-1.12447196025861,0.743108859619491,0.171935772309194,0.784506333613202,1.07426229792019,-0.447193526262506,-0.41176797035392,-0.492018114404766,-0.439674380748767,0.483224715095168,0.497845300773391,-0.392272970475918,-0.217206533438323,-0.154876287180452,-0.396876251462013,-0.431653222433901,-0.629748833395761,-0.201682167115316,-0.688306939167046,-0.179655971004586
